,TFX,Teleflex Incorporated,371.88,137.65,,170.16%
,PLD,Prologis Inc,101.95,37.74,,170.14%
,INFO,IHS Markit Ltd,77.95,29.41,,165.05%
,ATVI,"Activision Blizzard, Inc.",79.12,29.8,,165.50%
,XYL,Xylem Inc,84.21,33.03,,154.95%
,FTNT,Fortinet Inc,118.01,44.73,,163.83%
,EQIX,Equinix Inc,756.04,290.05,,160.66%
,NVR,"NVR, Inc.",4142.22,1574.99,,163.00%
,IEX,IDEX Corporation,184.1,71.41,,157.81%
,BR,"Broadridge Financial Solutions, Inc.",136.03,52.87,,157.29%
,UNH,UnitedHealth Group Inc,308.57,120.03,,157.08%
,URI,"United Rentals, Inc.",176.58,69.83,,152.87%
,STE,Steris PLC,167.17,64.1,,160.80%
,VAR,"Varian Medical Systems, Inc.",173.15,69.82,,147.99%
,VRSK,"Verisk Analytics, Inc.",185.08,73.82,,150.72%
,MKC,"McCormick & Company, Incorporated",200.1,81.82,,144.56%
,PKI,"PerkinElmer, Inc.",117.73,48.41,,143.19%
,BLL,Ball Corporation,83.28,33.66,,147.42%
,LHX,L3Harris Technologies Inc,181.63,73.93,,145.68%
,GOOG,Alphabet Inc Class C,1519.28,635.14,,139.20%
,NDAQ,Nasdaq Inc,126.99,51.73,,145.49%
,AJG,Arthur J Gallagher & Co,102.61,42.26,,142.81%
,ABT,Abbott Laboratories,105.69,43.81,,141.25%
,ACN,Accenture Plc,238.83,98.24,,143.11%
,COST,Costco Wholesale Corporation,342.92,142.43,,140.76%
,HD,Home Depot Inc,280.65,116.18,,141.56%
,BSX,Boston Scientific Corporation,41.12,17.08,,140.75%
,APD,"Air Products & Chemicals, Inc.",303.97,125.38,,142.44%
,RSG,"Republic Services, Inc.",96.76,40.72,,137.62%
,DLR,"Digital Realty Trust, Inc.",144.28,63,,129.02%
,CTXS,"Citrix Systems, Inc.",135.4,57.54,,135.31%
,LOW,Lowe`s Companies Inc,165.19,69.44,,137.89%
,XLNX,"Xilinx, Inc.",101.72,43.15,,135.74%
,ITW,Illinois Tool Works Inc.,198.22,84.46,,134.69%
,GOOGL,Alphabet Inc Class A,1508.83,665.07,,126.87%
,J,Jacobs Engineering Group Inc,94.03,39.2,,139.87%
,BAX,Baxter International Inc,83.19,36.25,,129.49%
,QRVO,Qorvo Inc,122.84,52.73,,132.96%
,MCHP,Microchip Technology Inc.,102.21,44.01,,132.24%
,MSI,Motorola Solutions Inc,156,67.15,,132.32%
,LYV,"Live Nation Entertainment, Inc.",58.66,25.34,,131.49%
,DHI,D. R. Horton Inc,72.72,31.32,,132.18%
,FAST,Fastenal Company,44.33,19.34,,129.21%
,UNP,Union Pacific Corporation,198.84,87.98,,126.01%
,WM,"Waste Management, Inc.",116.36,50.15,,132.02%
,ALB,Albemarle Corporation,98.17,44.27,,121.75%
,JKHY,"Jack Henry & Associates, Inc.",158.47,69.59,,127.72%
,MCD,Mcdonald's Corp,220.56,98.19,,124.63%
,TYL,"Tyler Technologies, Inc.",330.05,147.78,,123.34%
,TDG,TransDigm Group Incorporated,507.3,229.43,,121.11%
,CHD,"Church & Dwight Co., Inc.",92.72,42.12,,120.13%
,AON,Aon PLC,201.96,92.09,,119.31%
,COO,Cooper Companies Inc,334.55,148.59,,125.15%
,PHM,"PulteGroup, Inc.",45.67,20.72,,120.42%
,FISV,Fiserv Inc,97.17,43.35,,124.15%
,MAS,Masco Corp,59.4,27.5,,116.00%
,MMC,"Marsh & McLennan Companies, Inc.",117.8,54.61,,115.71%
,TT,Trane Technologies PLC,118.99,56.48,,110.68%
,CAT,Caterpillar Inc.,153.51,74.58,,105.83%
,WMT,Walmart Inc,137.32,64.32,,113.50%
,PWR,Quanta Services Inc,52.26,24.61,,112.35%
,NKE,Nike Inc,119.28,56.92,,109.56%
,IQV,Iqvia Holdings Inc,161.65,76.94,,110.10%
,ROK,Rockwell Automation,224.66,106.55,,110.85%
,HUM,Humana Inc,403.63,187.69,,115.05%
,ICE,Intercontinental Exchange Inc,100.46,46.7,,115.12%
,XEL,Xcel Energy Inc,69.54,33.11,,110.03%
,QCOM,"QUALCOMM, Inc.",113.46,54.87,,106.78%
,FIS,Fidelity National Information Servcs Inc,146.23,69.87,,109.29%
,BF.B,Brown-Forman Corporation Class B,79.49,38.66,,105.61%
,LDOS,Leidos Holdings Inc,88.34,42.41,,108.30%
,AVY,Avery Dennison Corp,121.81,59.23,,105.66%
,DRE,Duke Realty Corp,37.9,18.53,,104.53%
,SYK,Stryker Corporation,205.51,99.85,,105.82%
,APH,Amphenol Corporation,106.78,52.28,,104.25%
,ADI,"Analog Devices, Inc.",114.62,58.3,,96.60%
,PG,Procter & Gamble Co,138.63,69.45,,99.61%
,CCI,Crown Castle International Corp,160.16,78.37,,104.36%
,NOC,Northrop Grumman Corporation,338.45,170.33,,98.70%
,KSU,Kansas City Southern,187.22,94.35,,98.43%
,EBAY,eBay Inc,52.3,25.98,,101.31%
,WEC,WEC Energy Group Inc,97.18,48.27,,101.33%
,AEE,Ameren Corp,76.98,39.2,,96.38%
,SIVB,SVB Financial Group,250.68,127.52,,96.58%
,PH,Parker-Hannifin Corp,211.44,108.17,,95.47%
,CLX,Clorox Co,217.46,111.6,,94.86%
,MXIM,Maxim Integrated Products Inc.,66.35,34.24,,93.78%
,ORLY,O'Reilly Automotive Inc,478.12,249.39,,91.72%
,ETFC,E*TRADE Financial Corp,53,27.67,,91.54%
,VRTX,Vertex Pharmaceuticals Incorporated,264.8,135.45,,95.50%
,TGT,Target Corporation,148.44,77.82,,90.75%
,IPGP,IPG Photonics Corporation,162.88,81.44,,100.00%
,LMT,Lockheed Martin Corporation,393.75,207.84,,89.45%
,AME,"AMETEK, Inc.",101.39,53.39,,89.90%
,LNT,Alliant Energy Corporation,52.33,27.8,,88.24%
,CMS,CMS Energy Corporation,61.42,32.9,,86.69%
,DOV,Dover Corp,113.69,61.32,,85.40%
,ECL,Ecolab Inc.,204.89,110.21,,85.91%
,EXPD,Expeditors International of Wshngtn Inc,91.21,49.3,,85.01%
,ETN,Eaton Corporation PLC,103.18,55.74,,85.11%
,MNST,Monster Beverage Corp,82.89,44.16,,87.70%
,ARE,Alexandria Real Estate Equities Inc,163.68,87.66,,86.72%
,WLTW,Willis Towers Watson PLC,206.2,112.69,,82.98%
,EA,Electronic Arts Inc.,126.18,69.38,,81.87%
,LLY,Eli Lilly And Co,149,82.96,,79.60%
,GLW,Corning Incorporated,32.74,18.03,,81.59%
,BLK,"BlackRock, Inc.",547.38,307.9,,77.78%
,ES,Eversource Energy,82.91,46.7,,77.54%
,CMG,"Chipotle Mexican Grill, Inc.",1267.19,732.08,,73.09%
,CNC,Centene Corp,58.22,31.66,,83.89%
,TROW,T. Rowe Price Group Inc,127.41,70.95,,79.58%
,JBHT,J B Hunt Transport Services Inc,132.02,78.03,,69.19%
,ANTM,Anthem Inc,265.6,148.24,,79.17%
,CE,Celanese Corporation,109.41,62.09,,76.21%
,WRB,W. R. Berkley Corp,63.85,36.45,,75.17%
,BDX,Becton Dickinson and Co,235.9,137.18,,71.96%
,FRC,First Republic Bank,107.9,63.49,,69.95%
,CME,CME Group Inc,166.08,95.24,,74.38%
,ATO,Atmos Energy Corporation,93.32,54.6,,70.92%
,NRG,NRG Energy Inc,31.54,19.05,,65.56%
,ADP,Automatic Data Processing Inc,136.57,78.89,,73.11%
,HON,Honeywell International Inc.,168.47,98.64,,70.79%
,AZO,"AutoZone, Inc.",1241.66,729.44,,70.22%
,KMX,"CarMax, Inc",104.8,60.82,,72.31%
,DGX,Quest Diagnostics Inc,112.72,66.7,,69.00%
,INTC,Intel Corporation,49.41,29.73,,66.20%
,BRK.B,Berkshire Hathaway Inc. Class B,219.94,132.26,,66.29%
,EFX,Equifax Inc.,163.32,99.43,,64.26%
,PAYX,"Paychex, Inc.",77.62,45.97,,68.85%
,WAT,Waters Corporation,205.28,124.68,,64.65%
,UPS,"United Parcel Service, Inc.",160.14,100.52,,59.31%
,MRK,"Merck & Co., Inc.",84.16,53.55,,57.16%
,ALLE,Allegion PLC,99.14,61.64,,60.84%
,JPM,JPMorgan Chase & Co.,102.47,63.58,,61.17%
,HRL,Hormel Foods Corp,50.25,30.99,,62.15%
,ALL,Allstate Corp,94.95,58.98,,60.99%
,HLT,Hilton Hotels Corporation Common Stock,92.31,52.95,,74.33%
,TEL,TE Connectivity Ltd,99.58,61.66,,61.50%
,GWW,W W Grainger Inc,354.34,222.03,,59.59%
,AES,AES Corp,17.95,11.12,,61.42%
,PKG,Packaging Corp Of America,105.93,66.23,,59.94%
,FBHS,Fortune Brands Home & Security Inc,83.77,52.03,,61.00%
,HSY,Hershey Co,144.5,90.75,,59.23%
,SWK,"Stanley Black & Decker, Inc.",162.35,101.25,,60.35%
,JNJ,Johnson & Johnson,148.35,94.4,,57.15%
,BAC,Bank of America Corp,25.75,16.31,,57.88%
,AMGN,"Amgen, Inc.",246.75,152.14,,62.19%
,CMCSA,Comcast Corporation,45.27,28.57,,58.45%
,HCA,HCA Healthcare Inc,135.72,85.84,,58.11%
,YUM,"Yum! Brands, Inc.",92.87,59.26,,56.72%
,TSCO,Tractor Supply Company,138.14,86.5,,59.70%
,HPQ,HP Inc,19.33,12.31,,57.03%
,DTE,DTE Energy Co,120.38,76.5,,57.36%
,SYY,SYSCO Corporation,64.57,39.46,,63.63%
