"
Company","
Ticker","% of
Portfolio","Russell
Sector","Zacks
G Sector"
VORNADO RLTY TR,VNO,0.0%,FINANCIAL SERVICES,REAL ESTATE
WELLTOWER INC,WELL,0.1%,FINANCIAL SERVICES,REAL ESTATE
WEYERHAEUSER CO,WY,0.1%,FINANCIAL SERVICES,REAL ESTATE
AES CORP,AES,0.0%,UTILITIES,UTILITIES
ALLIANT ENGY CP,LNT,0.0%,UTILITIES,UTILITIES
AMER ELEC PWR,AEP,0.1%,UTILITIES,UTILITIES
AMER WATER WORK,AWK,0.1%,UTILITIES,UTILITIES
AMEREN CORP,AEE,0.1%,UTILITIES,UTILITIES
ATMOS ENERGY CP,ATO,0.0%,UTILITIES,UTILITIES
CENTERPOINT EGY,CNP,0.0%,UTILITIES,UTILITIES
CMS ENERGY,CMS,0.1%,UTILITIES,UTILITIES
CONSOL EDISON,ED,0.1%,UTILITIES,UTILITIES
DOMINION ENERGY,D,0.2%,UTILITIES,UTILITIES
DTE ENERGY CO,DTE,0.1%,UTILITIES,UTILITIES
DUKE ENERGY CP,DUK,0.2%,UTILITIES,UTILITIES
EDISON INTL,EIX,0.1%,UTILITIES,UTILITIES
ENTERGY CORP,ETR,0.1%,UTILITIES,UTILITIES
EVERGY INC,EVRG,0.0%,UTILITIES,UTILITIES
EVERSOURCE EGY,ES,0.1%,UTILITIES,UTILITIES
EXELON CORP,EXC,0.1%,UTILITIES,UTILITIES
FIRSTENERGY CP,FE,0.1%,UTILITIES,UTILITIES
NEXTERA ENERGY,NEE,0.5%,UTILITIES,UTILITIES
NISOURCE INC,NI,0.0%,UTILITIES,UTILITIES
NRG ENERGY INC,NRG,0.0%,UTILITIES,UTILITIES
PINNACLE WEST,PNW,0.0%,UTILITIES,UTILITIES
PPL CORP,PPL,0.1%,UTILITIES,UTILITIES
PUBLIC SV ENTRP,PEG,0.1%,UTILITIES,UTILITIES
SEMPRA ENERGY,SRE,0.1%,UTILITIES,UTILITIES
SOUTHERN CO,SO,0.2%,UTILITIES,UTILITIES
WEC ENERGY GRP,WEC,0.1%,UTILITIES,UTILITIES
XCEL ENERGY INC,XEL,0.1%,UTILITIES,UTILITIES
