,CRM,"salesforce.com, inc.",246.64,,193.46,27.49%
,PVH,PVH Corp,71.4,,55.36,28.97%
,CCL,Carnival Corp,17.85,,15.47,15.38%
,FCX,Freeport-McMoRan Inc,16.36,,13.78,18.72%
,LUV,Southwest Airlines Co,40.06,,34.9,14.79%
,RCL,Royal Caribbean Cruises Ltd,70.94,,60.5,17.26%
,NCLH,Norwegian Cruise Line Holdings Ltd,17.79,,15.75,12.95%
,DAL,"Delta Air Lines, Inc.",32.82,,28.95,13.37%
,FDX,FedEx Corporation,236.34,,208.6,13.30%
,LYV,"Live Nation Entertainment, Inc.",58.66,,51.48,13.95%
,DOW,Dow Inc,50.09,,44.87,11.63%
,DE,Deere & Company,218.33,,191.13,14.23%
,NKE,Nike Inc,119.28,,106.43,12.07%
,ALK,"Alaska Air Group, Inc.",41.51,,37.68,10.16%
,VFC,VF Corp,73.21,,64.24,13.96%
,CAT,Caterpillar Inc.,153.51,,139.96,9.68%
,EMN,Eastman Chemical Company,81,,73.29,10.52%
,PSA,Public Storage,224.74,,200.24,12.24%
,BF.B,Brown-Forman Corporation Class B,79.49,,71.13,11.75%
,FOXA,Fox Corp Class A,28.66,,25.74,11.34%
,LEG,"Leggett & Platt, Inc.",44.63,,#N/A,#N/A
,FOX,Fox Corp Class B,28.7,,25.82,11.15%
,WRK,Westrock Co,34.34,,30.29,13.37%
,AVGO,Broadcom Inc,362.2,,327.82,10.49%
,LVS,Las Vegas Sands Corp.,53.1,,48.37,9.78%
,STZ,"Constellation Brands, Inc. Class A",195.31,,176.03,10.95%
,LYB,LyondellBasell Industries NV,76.49,,#N/A,#N/A
,GPS,Gap Inc,17.31,,15.08,14.79%
,UAA,Under Armour Inc Class A,11.72,,10.74,9.12%
,EXPE,Expedia Group Inc,95.92,,86.73,10.60%
,SBUX,Starbucks Corporation,86.63,,78.37,10.54%
,VIAC,CBS Corporation Common Stock,29.73,,27.46,8.27%
,HPQ,HP Inc,19.33,,18.18,6.33%
,RL,Ralph Lauren Corp,80.59,,70.66,14.05%
,BLL,Ball Corporation,83.28,,75.5,10.30%
,COO,Cooper Companies Inc,334.55,,303.82,10.11%
,PGR,Progressive Corp,96.26,,88.97,8.19%
,PPG,"PPG Industries, Inc.",130.21,,118.98,9.44%
,SYK,Stryker Corporation,205.51,,188.37,9.10%
,TGT,Target Corporation,148.44,,136.53,8.72%
,NTAP,NetApp Inc.,45.38,,41.56,9.19%
,GPC,Genuine Parts Company,103.02,,94.56,8.95%
,XYL,Xylem Inc,84.21,,79.62,5.76%
,CMG,"Chipotle Mexican Grill, Inc.",1267.19,,1186.53,6.80%
,VTR,"Ventas, Inc.",45.48,,40.6,12.02%
,RSG,"Republic Services, Inc.",96.76,,90.37,7.07%
,CFG,Citizens Financial Group Inc,27.99,,25.9,8.07%
,COF,Capital One Financial Corp.,74.64,,69.47,7.44%
,MGM,MGM Resorts International,23.06,,21.81,5.73%
,IP,International Paper Co,40.79,,37.27,9.44%
,EXR,"Extra Space Storage, Inc.",111.33,,104.21,6.83%
,AXP,American Express Company,107.27,,100.41,6.83%
,SYF,Synchrony Financial,26.96,,24.93,8.14%
,KO,Coca-Cola Co,50.71,,48.45,4.66%
,CE,Celanese Corporation,109.41,,101.48,7.81%
,MHK,"Mohawk Industries, Inc.",100.46,,90.26,11.30%
,ADM,Archer-Daniels-Midland Co,47.5,,44.59,6.53%
,SHW,Sherwin-Williams Co,717.6,,666.56,7.66%
,ORCL,Oracle Corporation,59.46,,54.2,9.70%
,PKG,Packaging Corp Of America,105.93,,99.67,6.28%
,XRX,Xerox Holdings Corp,19.23,,17.79,8.09%
,BRK.B,Berkshire Hathaway Inc. Class B,219.94,,210.96,4.26%
,FTV,Fortive Corp,77.63,,#N/A,#N/A
,UA,Under Armour Inc Class C,10.3,,9.6,7.29%
,WELL,Welltower Inc,60.12,,56.75,5.94%
,WDC,Western Digital Corp,38.94,,35.74,8.95%
,UAL,United Airlines Holdings Inc,36.74,,#N/A,#N/A
,HON,Honeywell International Inc.,168.47,,160.28,5.11%
,CTVA,Corteva Inc,28.97,,27.87,3.95%
,ECL,Ecolab Inc.,204.89,,194.71,5.23%
,MCD,Mcdonald's Corp,220.56,,207.03,6.54%
,EXPD,Expeditors International of Wshngtn Inc,91.21,,86.1,5.93%
,NSC,Norfolk Southern Corp.,220.29,,206.61,6.62%
,MSI,Motorola Solutions Inc,156,,145.37,7.31%
,ADBE,Adobe Inc,485.91,,447.6,8.56%
,SYY,SYSCO Corporation,64.57,,59.54,8.45%
,EW,Edwards Lifesciences Corp,82.95,,78.07,6.25%
,WEC,WEC Energy Group Inc,97.18,,91.21,6.55%
,DFS,Discover Financial Services,57.99,,54.3,6.80%
,CBRE,CBRE Group Inc,48.78,,46.02,6.00%
,ABT,Abbott Laboratories,105.69,,99.99,5.70%
,PM,Philip Morris International Inc.,81.94,,77.71,5.44%
,APD,"Air Products & Chemicals, Inc.",303.97,,289.82,4.88%
,MAR,Marriott International Inc,104.68,,96.01,9.03%
,STX,Seagate Technology PLC,47.65,,45.07,5.72%
,IEX,IDEX Corporation,184.1,,176.7,4.19%
,CHRW,CH Robinson Worldwide Inc,100.71,,95.08,5.92%
,ALB,Albemarle Corporation,98.17,,92.39,6.26%
,DRI,"Darden Restaurants, Inc.",91.61,,84.07,8.97%
,TMO,Thermo Fisher Scientific Inc.,434.1,,413.76,4.92%
,AVY,Avery Dennison Corp,121.81,,116.59,4.48%
,IR,Ingersoll Rand Inc,36.32,,#N/A,#N/A
,DISCA,DISCOVERY COMMUNICATIONS INC. Common Stock,23.77,,22.62,5.08%
,TEL,TE Connectivity Ltd,99.58,,94.76,5.09%
,WRB,W. R. Berkley Corp,63.85,,62.28,2.52%
,TDG,TransDigm Group Incorporated,507.3,,498.79,1.71%
,J,Jacobs Engineering Group Inc,94.03,,#N/A,#N/A
,CSX,CSX Corporation,78.96,,74.25,6.34%
,NWL,Newell Brands Inc,17.83,,16.99,4.94%
,MDT,Medtronic PLC,106.97,,100.71,6.22%
,HLT,Hilton Hotels Corporation Common Stock,92.31,,86,7.34%
,LKQ,LKQ Corporation,32.34,,31.49,2.70%
,STE,Steris PLC,167.17,,158.7,5.34%
,ALGN,"Align Technology, Inc.",323.46,,306.96,5.38%
,CMCSA,Comcast Corporation,45.27,,43.77,3.43%
,AAL,American Airlines Group Inc,13.26,,13.33,-0.53%
,HWM,Howmet Aerospace Inc,18.39,,17.55,4.79%
,MOS,Mosaic Co,18.13,,17.83,1.68%
,ALXN,"Alexion Pharmaceuticals, Inc.",108.72,,102.97,5.58%
,TWTR,Twitter Inc,38.77,,37.9,2.30%
,AON,Aon PLC,201.96,,197.2,2.41%
,BSX,Boston Scientific Corporation,41.12,,39.16,5.01%
,TXT,Textron Inc.,39.33,,38.49,2.18%
,JCI,Johnson Controls International PLC,42.51,,40.86,4.04%
,INTU,Intuit Inc.,318.31,,305.54,4.18%
,O,Realty Income Corp,65.5,,61.01,7.36%
,AZO,"AutoZone, Inc.",1241.66,,1196.05,3.81%
,WLTW,Willis Towers Watson PLC,206.2,,201.51,2.33%
,HST,Host Hotels and Resorts Inc,11.92,,11.25,5.96%
,LOW,Lowe`s Companies Inc,165.19,,154.34,7.03%
,ULTA,Ulta Beauty Inc,234.14,,225.42,3.87%
,FB,"Facebook, Inc. Common Stock",266.15,,261.24,1.88%
,DVA,Davita Inc,87.79,,82.17,6.84%
,WM,"Waste Management, Inc.",116.36,,111.47,4.39%
,TPR,Tapestry Inc,17.52,,15.93,9.98%
,PG,Procter & Gamble Co,138.63,,135.1,2.61%
,DD,DuPont de Nemours Inc,59.43,,58.16,2.18%
,MU,"Micron Technology, Inc.",49.03,,#N/A,#N/A
,BWA,BorgWarner Inc.,42.82,,41.79,2.46%
