Date,AMD
5/14/2019,27.32
5/13/2019,26.24
5/10/2019,27.96
5/9/2019,27.21
5/8/2019,27.09
5/7/2019,26.66
5/6/2019,27.42
5/3/2019,28.22
5/2/2019,28.29
5/1/2019,26.81
4/30/2019,27.63
4/29/2019,27.69
4/26/2019,27.88
4/25/2019,27.66
4/24/2019,28.46
4/23/2019,27.97
4/22/2019,28.18
4/18/2019,27.68
4/17/2019,27.49
4/16/2019,27.93
4/15/2019,27.33
4/12/2019,27.85
4/11/2019,27.79
4/10/2019,27.83
4/9/2019,27.24
4/8/2019,28.53
4/5/2019,28.98
4/4/2019,29.09
4/3/2019,29.02
4/2/2019,26.75
4/1/2019,26.36
3/29/2019,25.52
3/28/2019,25.06
3/27/2019,24.89
3/26/2019,25.69
3/25/2019,25.97
3/22/2019,26.37
3/21/2019,27.89
3/20/2019,25.7
3/19/2019,26
3/18/2019,23.25
3/15/2019,23.29
3/14/2019,22.82
3/13/2019,23.38
3/12/2019,23.49
3/11/2019,22.96
3/8/2019,22.01
3/7/2019,22.08
3/6/2019,22.41
3/5/2019,23.5
3/4/2019,23.37
3/1/2019,23.68
2/28/2019,23.53
2/27/2019,23.48
2/26/2019,24.21
2/25/2019,24.71
2/22/2019,24.36
2/21/2019,23.92
2/20/2019,23.95
2/19/2019,23.95
2/15/2019,23.68
2/14/2019,23.13
2/13/2019,22.85
2/12/2019,22.82
2/11/2019,22.96
2/8/2019,23.05
2/7/2019,22.67
2/6/2019,23.26
2/5/2019,23.31
2/4/2019,24.13
2/1/2019,24.51
1/31/2019,24.41
1/30/2019,23.09
1/29/2019,19.25
1/28/2019,20.18
1/25/2019,21.93
1/24/2019,20.85
1/23/2019,19.8
1/22/2019,19.76
1/18/2019,20.77
1/17/2019,20.25
1/16/2019,19.73
1/15/2019,20.38
1/14/2019,20.23
1/11/2019,20.27
1/10/2019,19.74
1/9/2019,20.19
1/8/2019,20.75
1/7/2019,20.57
1/4/2019,19
1/3/2019,17.05
1/2/2019,18.83
12/31/2018,18.46
12/28/2018,17.82
12/27/2018,17.49
12/26/2018,17.9
12/24/2018,16.65
12/21/2018,16.93
12/20/2018,17.94
12/19/2018,18.16
12/18/2018,19.5
12/17/2018,18.83
12/14/2018,19.9
12/13/2018,19.86
12/12/2018,20.48
12/11/2018,19.98
12/10/2018,19.99
12/7/2018,19.46
12/6/2018,21.3
12/4/2018,21.12
12/3/2018,23.71
11/30/2018,21.3
11/29/2018,21.43
11/28/2018,21.34
11/27/2018,21.05
11/26/2018,20.08
11/23/2018,19.38
11/21/2018,18.73
11/20/2018,19.21
11/19/2018,19.11
11/16/2018,20.66
11/15/2018,21.49
11/14/2018,20.81
11/13/2018,19.61
11/12/2018,19.03
11/9/2018,21.03
11/8/2018,21.2
11/7/2018,21.84
11/6/2018,20.68
11/5/2018,19.9
11/2/2018,20.23
11/1/2018,20.22
10/31/2018,18.21
10/30/2018,17.2
10/29/2018,16.85
10/26/2018,17.63
10/25/2018,19.27
10/24/2018,22.79
10/23/2018,25.09
10/22/2018,25.03
10/19/2018,23.66
10/18/2018,26.62
10/17/2018,27.3
10/16/2018,28.18
10/15/2018,26.26
10/12/2018,26.34
10/11/2018,25.3
10/10/2018,25
10/9/2018,27.24
10/8/2018,26.46
10/5/2018,27.35
10/4/2018,27.78
10/3/2018,28.43
10/2/2018,29.02
10/1/2018,31.42
9/28/2018,30.89
9/27/2018,32.59
9/26/2018,32.19
9/25/2018,32.57
9/24/2018,32.61
9/21/2018,31.02
9/20/2018,31.18
9/19/2018,31.21
9/18/2018,31.93
9/17/2018,32.43
9/14/2018,32.72
9/13/2018,30.48
9/12/2018,32.21
9/11/2018,30.1
9/10/2018,29.89
9/7/2018,27.38
9/6/2018,27.84
9/5/2018,28.51
9/4/2018,28.06
8/31/2018,25.17
8/30/2018,24.89
8/29/2018,25.2
8/28/2018,25.05
8/27/2018,25.26
8/24/2018,23.98
8/23/2018,22.29
8/22/2018,20.9
8/21/2018,20.4
8/20/2018,19.98
8/17/2018,19.77
8/16/2018,19.33
8/15/2018,19.7
8/14/2018,20.02
8/13/2018,19.73
8/10/2018,19.06
8/9/2018,19.1
8/8/2018,19.58
8/7/2018,19.56
8/6/2018,19.43
8/3/2018,18.49
8/2/2018,18.79
8/1/2018,18.48
7/31/2018,18.33
7/30/2018,19.42
7/27/2018,18.94
7/26/2018,18.35
7/25/2018,16.05
7/24/2018,16.19
7/23/2018,16.66
7/20/2018,16.5
7/19/2018,16.71
7/18/2018,16.85
7/17/2018,16.87
7/16/2018,16.58
7/13/2018,16.27
7/12/2018,16.56
7/11/2018,16.27
7/10/2018,16.55
7/9/2018,16.61
7/6/2018,16.36
7/5/2018,15.5
7/3/2018,15
7/2/2018,15.16
6/29/2018,14.99
6/28/2018,15.31
6/27/2018,14.97
6/26/2018,15.5
6/25/2018,15.11
6/22/2018,15.8
6/21/2018,15.65
6/20/2018,16.52
6/19/2018,16.69
6/18/2018,17.11
6/15/2018,16.34
6/14/2018,16.25
6/13/2018,16.32
6/12/2018,15.85
6/11/2018,15.73
6/8/2018,15.25
6/7/2018,14.89
6/6/2018,15.67
6/5/2018,14.85
6/4/2018,14.85
6/1/2018,14.4
5/31/2018,13.73
5/30/2018,13.82
5/29/2018,13.36
5/25/2018,13.54
5/24/2018,13.41
5/23/2018,13.1
5/22/2018,12.98
5/21/2018,12.99
5/18/2018,13
5/17/2018,12.82
5/16/2018,12.82
5/15/2018,12.45
5/14/2018,12.23
5/11/2018,11.95
5/10/2018,12.13
5/9/2018,11.95
5/8/2018,11.61
5/7/2018,11.59
5/4/2018,11.28
5/3/2018,10.93
5/2/2018,10.97
5/1/2018,11.13
4/30/2018,10.88
4/27/2018,11.11
4/26/2018,11.04
4/25/2018,9.71
4/24/2018,10.09
4/23/2018,10.04
4/20/2018,9.99
4/19/2018,10.11
4/18/2018,10.36
4/17/2018,10.52
4/16/2018,10.09
4/13/2018,9.93
4/12/2018,10.08
4/11/2018,9.82
4/10/2018,9.98
4/9/2018,9.53
4/6/2018,9.61
4/5/2018,10.02
4/4/2018,9.77
4/3/2018,9.55
4/2/2018,9.53
3/29/2018,10.05
3/28/2018,9.81
3/27/2018,10
3/26/2018,10.44
3/23/2018,10.63
3/22/2018,10.91
3/21/2018,11.26
3/20/2018,11.11
3/19/2018,11.43
3/16/2018,11.47
3/15/2018,11.46
3/14/2018,11.36
